timestamp,model_name,iterations,learning_rate,depth,train_mae,train_r2,train_rmse,test_mae,test_r2,test_rmse,notes,fold,val_mae,val_r2,val_rmse
2026-01-28 19:37:16,v2_10k_lr05,10000.0,0.05,6.0,0.4142,0.8516,0.5514,0.5053,0.7712,0.6785,"10k итераций, lr=0.05",,,,
2026-01-28 19:37:21,v3_20k_lr03,20000.0,0.03,6.0,0.3996,0.8604,0.5346,0.4979,0.7759,0.6715,"20k итераций, lr=0.03 — оптимальная",,,,
2026-01-28 19:37:30,v4_50k_lr01,50000.0,0.01,6.0,0.4116,0.8531,0.5484,0.502,0.7734,0.6753,"50k итераций, lr=0.01 — переобучение",,,,
2026-01-28 19:37:37,v5_30k_lr02,30000.0,0.02,6.0,0.3995,0.8602,0.535,0.4975,0.7759,0.6716,"30k итераций, lr=0.02 — стабильная",,,,
2026-01-28 20:01:04,v6_morgan_rdkit_esm,5000.0,0.03,6.0,0.3194,0.916,0.4143,0.4586,0.8124,0.6167,Morgan + RDKit + ESM-2 (650M) + kinase_name,,,,
2026-01-28 22:05:12,v7_morgan_rdkit_esm_100k,100000.0,0.01,6.0,0.2414,0.9511,0.3163,0.4311,0.8277,0.5911,"Morgan+RDKit+ESM (8M), 100k итераций, lr=0.01",,,,
2026-01-30 19:39:44,chemberta_10k,10000.0,0.03,6.0,0.4558,0.8213,0.6049,0.5451,0.7384,0.7255,"ChemBERTa-77M-MTR, 10k итераций",,,,
2026-01-30 19:39:46,chemberta_30k_lr02,30000.0,0.02,6.0,0.4059,0.8526,0.5495,0.5245,0.7522,0.7061,"ChemBERTa-77M-MTR, 30k итераций, lr=0.02",,,,
2026-02-01 10:02:13,chemberta_esm_10k_final,10000.0,0.03,6.0,0.3638,0.8894,0.4755,0.4933,0.7871,0.6571,"ChemBERTa+ESM, на основе valid_indices, batch_size=32",,,,
2026-02-01 10:55:38,chemberta_esm_100k,100000.0,0.01,6.0,0.2239,0.9562,0.2991,0.4469,0.8151,0.6123,"ChemBERTa+ESM, 100k, на основе valid_indices, batch_size=32",,,,
2026-02-01 17:39:49,lightautoml_morgan_rdkit,-1.0,-1.0,-1.0,0.5925,0.695,0.7904,0.5084,0.764,0.6891,"LightAutoML на Morgan+RDKit, результаты сохранены без повторного обучения",,,,
2026-02-02 17:39:39,lightautoml_morgan_rdkit_esm,-1.0,-1.0,-1.0,0.5524,0.7326,0.7393,0.4643,0.8079,0.6241,"LightAutoML на Morgan+RDKit+ESM, 30 мин",,,,
2026-02-02 18:25:30,lightautoml_chemberta_esm,-1.0,-1.0,-1.0,0.5753,0.7131,0.7658,0.4406,0.827,0.5923,"LightAutoML на ChemBERTa+ESM, 30 мин",,,,
2026-02-02 19:08:18,lightautoml_morgan_rdkit_chemberta_esm,-1.0,-1.0,-1.0,0.8774,0.3959,1.1102,0.8449,0.4366,1.0747,"LightAutoML на Morgan+RDKit+ChemBERTa+ESM, 30 мин",,,,
2026-02-04 12:02:14,lightautoml_morgan_rdkit_chemberta_protbert_norm_kinase,-1.0,-1.0,-1.0,0.8775,0.396,1.1101,0.8487,0.4304,1.0806,"LightAutoML с kinase_name, нормализация StandardScaler",,,,
2026-02-04 14:27:23,catboost_morgan_rdkit_protbert_200k,200000.0,0.01,6.0,0.1736,0.9731,0.2346,0.4224,0.8249,0.5936,"CatBoost на Morgan+RDKit+ProtBERT, 200k итераций, early stopping 5k",,,,
2026-02-05 18:52:23,catboost_morgan_rdkit_esm_200k_raw,200000.0,0.01,6.0,0.1716,0.9736,0.2324,0.4134,0.835,0.5784,"CatBoost на Morgan+RDKit+ESM, 200k",,,,
2026-02-14 22:15:45,mmclkin_seq_only,-1.0,0.0001,-1.0,-1.0,-1.0,-1.0,0.8896,0.4009,1.1362,"Упрощённый MMCLKin (ESM+ChemBERTa, без 3D), Colab Free",,,,
2026-02-14 23:46:38,mmclkin_seq_only,-1.0,0.0001,-1.0,-1.0,-1.0,-1.0,0.7866,0.4954,1.0128,"Упрощённый MMCLKin (ESM+ChemBERTa, без 3D), Colab Free",,,,
2026-02-25 17:52:59,AttentiveFP_ESM,50.0,0.001,3.0,0.48,0.75,0.6436,0.608,0.6813,0.7986,AttentiveFP + ESM embeddings. Hidden=128. Batch=32.,,,,
2026-02-25 22:23:32,Transformer_CrossAttn_ProtT_Morgan,103.0,0.0001,64.0,0.7905,0.406,1.0085,0.8098,0.3684,1.0385,"ProtT(1024)+Morgan(1238), PCA=64, nhead=4, EarlyStop@103",,,,
2026-03-07 21:47:28,AttentiveFP_ESM_Improved,100.0,0.001,3.0,0.6997,0.8,0.9329,0.7225,0.5801,0.9167,"EarlyStopping(patience=10), Scheduler, Hidden=128",,,,
2026-03-08 02:04:25,AttentiveFP_ESM_Improved_v2,34.0,0.001,3.0,0.7659,0.8,1.0212,0.9693,-0.033,1.1988,"GroupSplit+200epochs+patience20, Hidden=128",,,,
2026-03-09 00:05:21,AttentiveFP_ESM_Optimized_v3,200.0,0.001,4.0,0.4611,0.8,0.6148,0.6873,0.611,0.8823,StandardScaler+200epochs+patience20+hidden256+layers4+dropout0.2+MSELoss_none,,,,
2026-03-09 08:44:23,BridgeDTI_ESM_Regression,108.0,0.001,2.0,0.3136,0.916,0.4148,0.4491,0.8115,0.6143,ESM_dim320+esm_typepooled+nodeNum32+cSize882+outSize128,,,,
2026-03-10 00:07:22,BridgeDTI_ESM_Regression,122.0,0.001,2.0,0.3206,0.9127,0.4229,0.4531,0.8079,0.6199,ESM_dim320+esm_typepooled+nodeNum32+cSize882+outSize128,,,,
2026-03-10 19:12:45,BridgeDTI_Hybrid,104.0,3e-05,2.0,0.2673,0.9343,0.3669,0.4345,0.8132,0.6131,ESM_dim320+esm_typepooled+cSize39+preheat5,1.0,0.4345,0.8132,0.6131
